,SEX,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP,YEARS
112,1,Analyst,25,40060,Management,20,2,2,1.667351129
113,0,Analyst,25,46129,Management,20,3,2,2.214921287
114,1,Senior Manager,38,189435,Marketing,19,4,10,2.746064339
115,0,Senior Analyst,26,62537,Management,27,2,0,2.800821355
116,1,Analyst,24,44145,Management,17,5,1,2.305270363
117,0,Analyst,22,47998,Marketing,23,5,0,1.264887064
118,1,Analyst,25,49310,Marketing,16,2,2,1.971252567
119,0,Analyst,24,49235,Management,17,4,1,1.798767967
120,1,Senior Analyst,26,68245,Finance,26,3,0,2.699520876
121,0,Analyst,23,47498,Finance,25,5,1,1.2183436
122,1,Analyst,25,40636,Finance,26,4,3,1.103353867
123,0,Analyst,25,45233,Operations,25,4,1,3.008898015
124,0,Senior Analyst,27,53275,Finance,16,4,4,2.176591376
125,0,Analyst,24,43540,Web,17,5,1,2.472279261
126,1,Analyst,21,40275,Management,30,5,0,0.963723477
127,1,Analyst,21,44361,Web,28,5,0,2.072553046
128,1,Analyst,25,41936,Web,16,2,1,2.633812457
129,0,Analyst,21,45830,Finance,25,5,0,2.735112936
130,0,Analyst,23,44521,Web,28,3,0,2.458590007
131,1,Analyst,22,45997,Management,18,3,0,1.42642026
132,1,Analyst,25,44218,Finance,19,2,2,2.083504449
133,0,Manager,35,140926,Finance,28,2,12,2.250513347
134,0,Analyst,21,48886,Operations,23,3,0,1.344284736
135,1,Analyst,23,49081,Operations,26,3,1,1.32238193
136,0,Analyst,23,42195,Operations,28,2,0,1.861738535
137,1,Senior Analyst,25,50130,Marketing,22,3,0,2.929500342
138,1,Senior Analyst,25,55472,Finance,30,3,0,1.100616016
139,1,Analyst,25,43269,Operations,17,5,1,2.631074606
140,0,Analyst,22,43712,Operations,17,2,0,2.288843258
141,1,Analyst,25,42377,Marketing,24,5,3,1.084188912
142,0,Senior Analyst,28,69316,Operations,24,3,0,3.255304586
143,0,Analyst,23,46418,Marketing,29,2,0,2.362765229
144,1,Senior Analyst,28,65566,Marketing,17,3,5,1.399041752
145,0,Analyst,24,48976,Finance,25,2,1,2.217659138
146,1,Analyst,23,43760,Marketing,24,4,0,2.729637235
147,0,Analyst,22,41047,Operations,21,4,0,2.633812457
148,0,Analyst,25,43225,Operations,30,2,2,2.080766598
149,1,Analyst,22,42361,Marketing,25,2,0,0.960985626
150,0,Analyst,22,43835,Management,26,4,0,1.311430527
151,0,Analyst,25,47326,Operations,24,5,2,1.9137577
152,1,Senior Analyst,25,61221,Marketing,19,3,0,3.274469541
153,0,Analyst,21,42943,Finance,17,4,0,2.020533881
154,1,Analyst,23,48751,Operations,24,3,0,2.340862423
155,1,Analyst,22,42136,Finance,23,4,0,2.543463381
156,0,Analyst,21,42472,Web,27,5,0,2.53798768
157,1,Analyst,22,46677,IT,26,4,0,2.792607803
158,1,Analyst,25,45977,Web,28,5,3,1.095140315
159,1,Analyst,25,41345,Web,18,5,3,1.117043121
160,0,Director,41,323196,Marketing,23,3,10,5.53045859
161,0,Analyst,22,42727,Marketing,19,2,0,1.226557153
162,1,Senior Analyst,25,53218,Marketing,18,5,0,3.613963039
163,0,Analyst,21,48422,IT,21,3,0,2.488706366
164,1,Associate,32,83066,IT,23,4,6,2.231348392
165,0,Analyst,21,41627,Operations,29,2,0,2.291581109
166,1,Director,42,388112,Marketing,27,2,18,2.896646133
167,0,Analyst,23,44469,Web,25,3,0,2.151950719
168,1,Analyst,24,41109,Marketing,23,3,2,1.166324435
169,1,Analyst,23,43924,Operations,27,4,1,1.095140315
170,1,Senior Analyst,25,64232,Operations,23,4,2,2.031485284
171,1,Analyst,22,49644,Operations,19,2,0,2.792607803
172,0,Director,43,284733,Web,15,2,11,6.954140999
173,0,Analyst,22,48802,Operations,20,4,0,1.80971937
174,0,Analyst,21,41748,IT,21,4,0,2.067077344
175,1,Senior Analyst,27,61575,Finance,20,2,1,2.518822724
176,0,Analyst,24,46062,Marketing,25,3,1,2.056125941
177,0,Analyst,25,40251,Finance,18,2,1,2.765229295
178,1,Analyst,21,42416,Management,16,2,0,1.07871321
179,0,Analyst,22,43951,Finance,18,5,0,1.607118412
180,1,Analyst,25,47903,Finance,19,2,2,1.990417522
181,0,Analyst,22,45275,Operations,27,3,0,2.669404517
182,1,Senior Analyst,26,61046,Finance,28,5,1,1.308692676
183,0,Analyst,25,48204,Web,15,4,2,2.006844627
184,0,Senior Analyst,27,51053,Operations,23,3,1,2.54072553
185,1,Analyst,22,42560,Operations,16,2,0,1.275838467
186,0,Analyst,25,40947,Marketing,20,2,3,1.097878166
187,0,Senior Analyst,28,68432,IT,30,2,0,3.592060233
188,0,Analyst,24,44561,Management,24,4,1,1.612594114
189,0,Senior Analyst,26,63882,Operations,27,2,1,3.898699521
190,1,Analyst,23,45903,Finance,21,2,0,2.072553046
191,1,Analyst,23,48470,Web,28,3,0,3.014373717
192,0,Analyst,23,45704,Finance,24,4,0,1.941136208
193,0,Senior Analyst,25,57064,Management,18,5,0,2.045174538
194,1,Analyst,22,48546,IT,15,2,0,1.735797399
195,0,Senior Analyst,28,50044,Operations,25,3,5,2.275154004
196,0,Analyst,21,41604,Marketing,16,2,0,2.53798768
197,0,Analyst,23,45022,Finance,23,3,0,1.574264203
198,1,Manager,33,107432,Web,24,4,8,4.323066393
199,0,Analyst,24,45499,IT,26,4,0,2.855578371
200,1,Analyst,22,47846,Marketing,26,2,0,2.737850787
201,0,Senior Analyst,28,67299,Operations,29,3,1,3.331964408
202,0,Analyst,24,48047,Web,21,2,2,1.11430527
203,1,Senior Manager,36,186356,Finance,20,3,8,5.086926762
204,0,Analyst,22,48539,Operations,26,5,0,2.12183436
205,0,Analyst,22,45146,Marketing,18,2,0,1.067761807
206,0,Senior Analyst,25,67321,IT,26,3,0,3.93155373
207,0,Analyst,24,43137,IT,27,2,2,1.190965092
208,0,Analyst,24,46974,Web,30,4,0,2.680355921
209,0,Analyst,25,48602,Marketing,30,2,1,2.680355921
210,0,Analyst,22,43036,Web,25,4,0,2.288843258
211,1,Analyst,23,49318,Finance,17,3,0,1.500342231
212,0,Analyst,23,48356,Web,19,2,0,2.576317591
213,1,Analyst,25,49894,Operations,22,3,1,2.535249829
214,0,Analyst,24,42344,Marketing,17,4,2,1.051334702
215,1,Analyst,24,43343,Web,27,4,0,2.973305955
216,0,Analyst,22,47750,Operations,27,4,0,2.023271732
217,1,Analyst,22,42440,Marketing,19,3,0,1.546885695
218,0,Analyst,25,45236,Web,16,2,3,1.45927447
219,1,Analyst,24,41514,Operations,27,4,0,2.707734428
220,1,Analyst,23,45084,IT,24,4,1,1.013004791
221,0,Analyst,24,41676,Marketing,29,3,1,2.045174538
222,0,Analyst,23,46127,Marketing,28,5,0,2.32991102
223,1,Associate,29,99416,Management,20,5,4,3.808350445
224,0,Analyst,25,47899,Operations,15,3,1,2.614647502
225,0,Analyst,23,45927,Finance,15,3,0,2.080766598
226,1,Analyst,23,48891,Management,22,2,1,1.155373032
227,1,Analyst,22,41284,Finance,19,5,0,2.688569473
228,1,Director,43,313649,IT,21,2,17,4.717316906
229,1,Analyst,22,49111,Marketing,22,2,0,3.000684463
230,1,Senior Analyst,25,51509,Marketing,23,3,0,3.879534565
231,1,Analyst,21,49393,IT,16,3,0,1.040383299
232,1,Analyst,21,46580,Web,27,4,0,2.483230664
233,0,Analyst,25,44538,Finance,16,4,2,1.869952088
234,0,Analyst,21,46507,Finance,22,2,0,2.028747433
235,0,Analyst,24,47308,Web,26,5,1,2.078028747
236,1,Analyst,22,45952,Management,25,5,0,1.136208077
237,1,Senior Analyst,25,68505,Operations,15,3,1,2.524298426
238,0,Senior Analyst,26,65316,Marketing,21,5,0,2.861054073
239,1,Analyst,23,47401,Marketing,17,5,1,1.070499658
240,0,Manager,35,129017,Operations,25,3,11,2.176591376
241,0,Analyst,23,46347,Finance,28,4,1,1.029431896
242,1,Analyst,25,47573,Web,25,4,2,1.787816564
243,1,Associate,32,97708,IT,29,2,5,4.210814511
244,1,Analyst,21,46002,Finance,21,5,0,1.546885695
245,0,Analyst,25,47201,IT,27,5,1,2.913073238
246,1,Analyst,21,46733,Web,15,2,0,1.976728268
247,0,Senior Manager,39,191793,IT,20,3,17,1.338809035
248,1,Senior Analyst,25,68505,Operations,15,3,1,2.524298426
249,1,Analyst,22,41035,Management,19,4,0,1.308692676
250,0,Manager,34,126871,Management,16,4,7,2.313483915
251,0,Senior Analyst,27,51532,Marketing,25,5,0,2.688569473
252,0,Analyst,24,43339,Finance,28,5,1,1.916495551
253,1,Analyst,22,44506,IT,30,4,0,1.629021218
254,1,Analyst,23,40045,Management,25,2,0,2.214921287
255,1,Analyst,24,48938,Finance,19,2,0,2.877481177
256,1,Analyst,23,48185,IT,19,4,0,2.255989049
257,0,Analyst,25,47579,Marketing,25,3,2,1.711156742
258,0,Director,41,375647,Finance,20,5,14,6.384668036
259,0,Analyst,24,47386,Management,23,2,0,2.762491444
260,1,Analyst,24,43952,Finance,23,4,1,1.853524983
261,0,Analyst,24,48981,Finance,26,4,0,2.839151266
262,0,Analyst,25,40702,Marketing,30,4,1,2.809034908
263,0,Director,43,235565,Web,20,4,17,1.409993155
264,0,Analyst,22,41641,Web,28,4,0,1.70568104
265,1,Analyst,21,44350,Finance,25,4,0,2.699520876
266,0,Analyst,23,48887,Operations,26,4,0,2.135523614
267,1,Analyst,24,47499,Web,24,2,0,2.617385352
268,0,Analyst,25,42128,Finance,18,5,1,2.559890486
269,1,Analyst,24,48271,Finance,29,3,0,2.874743326
270,0,Analyst,23,41029,Management,19,4,0,2.253251198
271,0,Analyst,25,43659,Web,15,5,3,1.00752909
272,1,Manager,33,140867,IT,27,4,7,1.785078713
273,0,Analyst,24,49806,IT,22,5,1,1.629021218
274,0,Analyst,24,49110,IT,25,2,1,2.40109514
275,1,Analyst,23,42081,Management,23,4,0,1.678302533
276,0,Analyst,21,41017,IT,27,5,0,2.762491444
277,0,Analyst,24,48869,IT,26,5,0,2.847364819
278,1,Senior Analyst,28,66965,Web,16,3,5,2.357289528
279,1,Analyst,24,42338,Management,22,4,0,2.655715264
280,1,Analyst,22,49380,Management,25,4,0,2.420260096
281,0,Manager,33,117354,Management,26,3,6,1.94934976
282,0,Analyst,25,41679,Web,20,2,2,2.488706366
283,1,Analyst,22,44207,Finance,28,4,0,1.303216975
284,0,Analyst,22,45059,Management,29,2,0,1.201916496
285,0,Associate,29,95056,Operations,15,3,0,4.665297741
286,1,Analyst,22,48777,Management,29,3,0,2.841889117
287,0,Senior Analyst,28,56728,IT,16,4,4,1.445585216
288,0,Senior Analyst,28,53113,Finance,20,3,1,3.074606434
289,0,Analyst,21,45039,Management,19,4,0,1.59890486
290,0,Analyst,21,41619,Management,21,2,0,1.615331964
291,0,Senior Analyst,26,62672,Management,28,3,1,2.056125941
292,1,Analyst,23,42925,Management,26,3,0,2.721423682
293,0,Analyst,25,44343,Marketing,28,5,1,2.568104038
294,0,Analyst,22,47967,Finance,23,4,0,1.642710472
295,1,Associate,30,92323,Marketing,30,5,4,1.872689938
296,1,Analyst,25,42002,Marketing,25,5,2,2.458590007
297,0,Senior Manager,38,199577,Marketing,15,5,11,1.960301164
298,0,Associate,30,96478,Marketing,29,4,0,4.580424367
299,1,Senior Analyst,25,51817,IT,21,3,3,1.341546886
300,0,Analyst,24,45604,Web,20,4,2,1.149897331
301,1,Analyst,25,46844,Operations,19,5,2,1.730321697
302,0,Analyst,23,46425,Operations,21,2,0,2.088980151
303,0,Analyst,21,41908,Operations,18,5,0,1.867214237
304,0,Analyst,22,42848,Web,29,3,0,2.590006845
305,1,Analyst,21,45895,Marketing,17,2,0,2.009582478
306,0,Analyst,22,41580,Finance,20,5,0,2.598220397
307,1,Senior Analyst,27,55417,IT,18,2,0,3.863107461
308,1,Analyst,21,41803,Web,30,2,0,2.130047912
309,0,Manager,35,113837,Marketing,20,4,8,4.120465435
310,0,Senior Analyst,28,69851,Finance,28,4,3,1.467488022
311,1,Analyst,23,42429,Operations,24,2,1,1.177275838
312,1,Associate,30,90346,Marketing,21,3,2,3.307323751
313,1,Analyst,22,44980,Web,19,4,0,1.081451061
314,1,Manager,32,124711,Finance,17,3,6,3.972621492
315,1,Analyst,21,42803,Management,24,2,0,2.212183436
316,1,Analyst,22,44015,IT,20,5,0,1.612594114
317,0,Senior Analyst,28,55693,Management,15,2,2,3.578370979
318,0,Senior Analyst,26,52083,Operations,19,4,1,2.53798768
319,1,Analyst,24,46907,IT,16,2,0,2.551676934
320,0,Senior Analyst,26,63008,Marketing,28,2,0,3.488021903
321,1,Senior Analyst,25,64112,Management,19,3,0,1.141683778
322,1,Analyst,24,44888,Operations,29,2,2,0.988364134
323,0,Analyst,25,41921,Operations,29,5,2,2.154688569
324,0,Analyst,22,41926,IT,18,3,0,1.993155373
325,0,Director,45,324783,Finance,24,5,19,3.345653662
326,0,Analyst,24,46499,Operations,22,3,1,2.078028747
327,0,Analyst,21,42754,Marketing,16,3,0,2.836413415
328,1,Analyst,22,46812,Operations,28,4,0,1.048596851
329,1,Analyst,22,47001,IT,16,4,0,1.138945927
330,0,Analyst,24,40646,Operations,24,5,1,1.694729637
331,0,Associate,30,97879,Marketing,30,2,3,3.490759754
332,0,Analyst,21,49013,Marketing,16,5,0,1.719370294
333,0,Analyst,23,41120,Finance,21,3,0,2.924024641
334,0,Manager,32,126181,IT,22,5,5,1.656399726
335,0,Associate,31,76143,Operations,24,3,6,1.054072553
336,1,Analyst,23,40998,Management,27,5,0,2.628336756
337,1,Senior Manager,36,198814,Operations,22,5,6,5.642710472
338,1,Analyst,24,43417,Finance,27,2,0,2.830937714
339,0,Senior Analyst,27,59111,IT,19,3,4,2.436687201
340,1,Associate,28,72328,Finance,27,3,0,3.690622861
341,1,Analyst,23,44225,Operations,17,3,1,1.138945927
342,1,Analyst,25,47561,Marketing,30,2,1,2.507871321
343,0,Analyst,25,44512,Marketing,25,2,2,1.916495551
344,1,Analyst,25,43352,Finance,27,4,2,2.15742642
345,1,Analyst,25,49619,Marketing,30,2,3,0.980150582
346,0,Analyst,25,43991,Management,25,4,2,1.681040383
347,0,Analyst,23,44712,Marketing,18,5,0,1.768651608
348,0,Analyst,21,47401,Finance,27,2,0,1.034907598
349,1,Associate,29,85391,Web,19,2,1,3.854893908
350,0,Analyst,24,47638,Web,21,2,2,0.996577687
351,0,Analyst,22,41284,Operations,23,4,0,2.43394935
352,1,Analyst,24,46251,Finance,28,5,2,1.215605749
353,1,Analyst,25,47183,IT,23,2,3,1.065023956
354,0,Analyst,23,44214,Web,23,4,0,1.700205339
355,1,Analyst,22,41227,IT,24,2,0,2.264202601
356,1,Analyst,25,43474,Management,27,5,2,2.045174538
357,0,Analyst,22,42178,Web,28,3,0,1.787816564
358,0,Analyst,23,40436,Operations,19,4,0,2.674880219
359,1,Analyst,22,41354,Marketing,26,4,0,2.647501711
360,1,Analyst,22,40417,Operations,24,4,0,2.32991102
361,0,Analyst,22,44617,Management,28,2,0,1.722108145
362,1,Analyst,21,44163,Finance,18,4,0,2.308008214
363,0,Analyst,23,45123,Web,29,4,0,2.099931554
364,1,Analyst,22,41550,Management,19,5,0,1.672826831
365,1,Analyst,22,41989,IT,18,5,0,2.570841889
366,1,Analyst,24,46206,IT,19,2,1,1.596167009
367,1,Analyst,23,42255,Web,26,4,1,1.418206708
368,1,Analyst,24,42667,Management,19,2,1,1.941136208
369,1,Analyst,25,41734,Finance,21,5,2,1.681040383
370,0,Analyst,22,40975,IT,30,4,0,2.321697467
371,0,Analyst,22,47695,Operations,21,4,0,2.551676934
372,1,Analyst,21,42786,Marketing,20,5,0,2.028747433
373,0,Analyst,22,48681,Management,26,3,0,2.866529774
374,1,Analyst,21,43185,IT,20,5,0,2.765229295
375,0,Analyst,21,41577,Management,16,3,0,2.776180698
376,1,Analyst,24,41691,Web,30,2,0,2.828199863
377,1,Senior Analyst,27,51534,Operations,30,4,3,2.57357974
378,0,Analyst,24,49020,IT,19,4,0,2.836413415
379,1,Manager,33,120184,Management,20,5,7,5.190965092
380,1,Manager,34,147560,Management,19,3,6,3.279945243
381,1,Analyst,24,49602,Operations,21,5,0,2.548939083
382,0,Analyst,24,42538,Marketing,25,5,0,2.658453114
383,1,Analyst,22,41027,Management,21,2,0,0.955509925
384,0,Analyst,21,43716,Management,30,2,0,2.354551677
385,0,Senior Analyst,27,60085,Web,17,4,0,3.641341547
386,1,Analyst,21,48682,Web,25,2,0,3.014373717
387,0,Analyst,22,42710,IT,20,3,0,1.555099247
388,1,Senior Analyst,26,53390,Marketing,20,5,2,3.244353183
389,1,Associate,32,99130,Web,17,4,3,4.498288843
390,1,Analyst,23,45152,Web,15,4,0,2.488706366
391,1,Analyst,21,43357,Web,28,3,0,3.000684463
392,0,Senior Analyst,26,57000,Marketing,27,5,0,3.433264887
393,1,Analyst,21,44134,Marketing,30,2,0,1.423682409
394,1,Analyst,23,44148,Finance,25,3,1,1.300479124
395,1,Senior Analyst,25,56181,Management,15,2,0,3.594798084
396,0,Analyst,23,48287,Finance,19,2,1,1.119780972
397,1,Senior Analyst,25,69421,Finance,25,4,3,1.240246407
398,1,Analyst,23,44342,Operations,26,5,0,1.70294319
399,0,Senior Analyst,28,61710,Management,15,4,2,1.973990418
400,1,Senior Analyst,27,61575,Finance,20,2,1,2.518822724
401,1,Analyst,22,46038,IT,16,3,0,2.806297057
402,1,Associate,31,78493,IT,21,2,4,1.754962355
403,0,Analyst,25,43292,Operations,26,4,3,1.25119781
404,1,Analyst,25,42657,Operations,27,3,2,1.733059548
405,1,Analyst,25,42400,Operations,29,3,1,2.803559206
406,0,Analyst,24,41713,Marketing,16,3,0,2.863791923
407,1,Analyst,21,46664,Finance,21,3,0,2.877481177
408,0,Senior Analyst,26,66339,Management,24,5,1,2.384668036
409,0,Analyst,22,45450,IT,27,2,0,1.941136208
410,0,Analyst,25,43355,Web,22,3,2,1.568788501
411,0,Analyst,23,42140,Operations,29,4,0,2.661190965
412,1,Senior Analyst,28,52406,Operations,19,2,5,1.429158111
413,1,Analyst,24,42440,IT,20,4,2,1.319644079
414,1,Senior Analyst,25,64913,Finance,29,4,0,4.013689254
415,0,Analyst,21,41551,Operations,21,2,0,2.970568104
416,1,Senior Analyst,26,54689,Management,23,5,0,2.614647502
417,0,Analyst,22,48747,Operations,21,4,0,1.694729637
418,0,Senior Analyst,25,59907,IT,17,5,0,1.28678987
419,1,Analyst,25,45319,Management,16,2,2,2.047912389
420,1,Senior Analyst,28,60707,Finance,26,3,2,3.523613963
421,0,Analyst,24,43124,IT,19,4,1,1.70568104
422,0,Analyst,24,43137,IT,27,2,2,1.190965092
423,1,Analyst,22,42121,Finance,30,5,0,2.212183436
424,0,Analyst,24,45950,Marketing,15,3,2,1.278576318
425,0,Senior Analyst,25,55525,Operations,18,2,0,2.904859685
426,1,Manager,34,112580,Management,30,5,8,5.193702943
427,0,Analyst,23,42160,Finance,20,3,0,1.623545517
428,0,Analyst,22,40335,Finance,27,3,0,1.503080082
429,0,Analyst,21,40363,IT,27,5,0,1.856262834
430,0,Analyst,24,49029,Marketing,23,2,0,2.729637235
431,0,Analyst,24,48775,Operations,22,5,1,2.182067077
432,1,Analyst,21,40396,Marketing,28,2,0,1.850787132
433,0,Analyst,25,45998,Finance,18,5,3,1.14715948
434,1,Senior Analyst,25,68996,Operations,16,2,0,2.247775496
435,1,Analyst,24,48222,Management,20,2,1,1.56605065
436,1,Analyst,24,47982,Finance,19,5,0,2.896646133
437,1,Analyst,25,44888,Operations,25,4,3,1.002053388
438,0,Analyst,25,42457,Marketing,28,5,2,2.272416153
439,1,Senior Analyst,26,58619,Finance,17,2,1,3.529089665
440,0,Analyst,24,45482,Management,26,4,0,2.825462012
441,1,Analyst,21,47827,IT,22,5,0,1.204654346
442,0,Senior Manager,35,169300,Management,22,3,10,3.635865845
443,0,Analyst,21,48833,Web,28,2,0,1.330595483
444,1,Associate,29,96909,IT,21,4,1,4.136892539
445,1,Senior Analyst,28,65639,Management,21,2,4,2.924024641
446,1,Analyst,25,43352,Finance,27,4,2,2.15742642
447,1,Senior Analyst,28,63841,Web,21,5,0,3.852156057
448,0,Analyst,24,46988,Operations,18,5,2,1.475701574
449,1,Analyst,23,48739,Management,15,3,0,2.217659138
450,0,Analyst,21,46438,Marketing,24,2,0,1.267624914
451,0,Analyst,22,49253,Web,17,2,0,2.603696099
452,1,Analyst,22,43508,Management,20,4,0,1.492128679
453,1,Analyst,23,43586,Operations,20,2,0,1.900068446
454,1,Analyst,24,46064,Management,25,2,1,2.132785763
455,1,Analyst,24,43031,IT,24,3,1,1.612594114
456,0,Analyst,24,40513,IT,29,5,1,2.357289528
457,1,Analyst,21,47018,Operations,15,3,0,2.26146475
458,0,Senior Analyst,28,50368,Operations,24,4,3,2.143737166
459,0,Associate,32,99098,Marketing,28,3,8,2.012320329
460,0,Analyst,25,47735,Finance,29,3,2,1.659137577
