,SEX,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP,YEARS
55,0,Analyst,24.0,49705,Management,28.0,3.0,0,2.7186858316221767
56,1,Analyst,21.0,40095,Management,19.0,3.0,0,1.782340862422998
57,0,Senior Analyst,28.0,61647,Finance,28.0,4.0,3,1.0677618069815196
58,0,Analyst,21.0,42811,Marketing,22.0,3.0,0,1.3908281998631074
59,0,Analyst,25.0,47365,Finance,15.0,2.0,2,2.0342231348391513
60,1,Analyst,22.0,45721,Operations,18.0,5.0,0,2.3819301848049284
61,1,Analyst,25.0,49976,Web,25.0,2.0,1,2.507871321013005
62,1,Analyst,21.0,42650,Marketing,21.0,2.0,0,2.7186858316221767
63,1,Analyst,25.0,44632,Management,27.0,3.0,3,0.9691991786447639
64,1,Analyst,25.0,48389,Operations,15.0,3.0,3,1.4455852156057496
65,1,Analyst,21.0,48665,Operations,18.0,2.0,0,2.209445585215606
66,1,Associate,31.0,72886,Management,21.0,4.0,6,2.757015742642026
67,0,Analyst,21.0,45225,IT,28.0,5.0,0,1.5824777549623545
68,1,Senior Analyst,25.0,60712,Finance,26.0,4.0,0,2.5598904859685145
69,1,Analyst,24.0,41290,Operations,17.0,3.0,1,2.2505133470225873
70,0,Analyst,21.0,44993,IT,18.0,2.0,0,1.6454483230663928
71,0,Analyst,24.0,46118,IT,22.0,4.0,1,2.379192334017796
72,0,Senior Analyst,25.0,65212,Management,29.0,5.0,1,3.370294318959617
73,0,Senior Manager,38.0,193621,Operations,19.0,4.0,9,4.049281314168378
74,0,Analyst,23.0,44223,Marketing,19.0,2.0,0,2.116358658453114
75,0,Senior Analyst,27.0,53339,Finance,26.0,2.0,1,2.236824093086927
76,0,Analyst,24.0,43638,Web,29.0,3.0,1,1.5030800821355237
77,1,Analyst,22.0,44963,Marketing,21.0,2.0,0,2.595482546201232
78,0,Analyst,21.0,42686,Marketing,22.0,3.0,0,1.6865160848733745
79,0,Analyst,21.0,40381,Web,22.0,2.0,0,1.3497604380561259
80,0,Analyst,21.0,48461,Finance,15.0,5.0,0,2.6830937713894594
81,0,Analyst,25.0,46584,Marketing,18.0,4.0,1,2.891170431211499
82,1,Senior Analyst,25.0,50739,IT,25.0,3.0,0,1.6071184120465434
83,1,Associate,31.0,82083,Management,17.0,3.0,5,1.4455852156057496
84,0,Analyst,23.0,40324,Operations,27.0,2.0,1,1.0431211498973305
85,1,Analyst,23.0,44001,Management,26.0,3.0,1,1.1307323750855578
86,0,Analyst,22.0,43059,Management,30.0,3.0,0,2.3901437371663246
87,0,Analyst,24.0,41685,Finance,30.0,2.0,2,1.2840520191649556
88,1,Associate,28.0,95982,Operations,26.0,4.0,0,3.8247775496235454
89,0,Analyst,23.0,44699,Management,26.0,3.0,0,2.5571526351813825
90,0,Senior Analyst,28.0,52690,Marketing,30.0,5.0,3,2.4175222450376452
91,0,Analyst,21.0,40041,Management,18.0,4.0,0,1.891854893908282
92,0,Senior Analyst,28.0,56314,Finance,16.0,5.0,3,1.1800136892539357
93,1,Analyst,25.0,49785,Operations,26.0,3.0,2,1.88911704312115
94,0,Analyst,24.0,41284,Web,29.0,5.0,1,2.127310061601643
95,0,Analyst,22.0,40562,Finance,26.0,5.0,0,1.6372347707049966
96,1,Analyst,22.0,46741,Operations,30.0,2.0,0,2.433949349760438
97,1,Analyst,24.0,45100,Operations,28.0,2.0,1,1.9000684462696784
98,1,Analyst,22.0,41712,IT,23.0,5.0,0,1.3114305270362765
99,0,Analyst,24.0,47069,Operations,20.0,4.0,1,1.6427104722792607
100,1,Analyst,25.0,40460,Web,28.0,3.0,1,2.7186858316221767
101,1,Analyst,24.0,47068,Finance,28.0,4.0,0,2.861054072553046
102,0,Senior Analyst,25.0,50813,Marketing,26.0,2.0,0,2.269678302532512
103,1,Manager,33.0,129191,Operations,22.0,4.0,3,5.711156741957564
104,0,Senior Analyst,28.0,66338,Web,24.0,3.0,5,1.7440109514031485
105,1,Analyst,24.0,46749,Operations,28.0,5.0,2,1.051334702258727
106,0,Manager,33.0,108665,Finance,15.0,2.0,6,4.229979466119096
107,0,Associate,32.0,76964,Management,23.0,5.0,5,3.0855578370978782
108,1,Analyst,24.0,47417,Marketing,21.0,3.0,1,2.0506502395619437
109,1,Analyst,21.0,47669,IT,25.0,5.0,0,1.727583846680356
110,0,Analyst,21.0,40318,Finance,20.0,3.0,0,1.5605749486652978
111,1,Analyst,23.0,46743,IT,17.0,2.0,0,2.349075975359343
112,1,Analyst,25.0,40060,Management,20.0,2.0,2,1.6673511293634498
113,0,Analyst,25.0,46129,Management,20.0,3.0,2,2.21492128678987
114,1,Senior Manager,38.0,189435,Marketing,19.0,4.0,10,2.746064339493498
115,0,Senior Analyst,26.0,62537,Management,27.0,2.0,0,2.8008213552361396
116,1,Analyst,24.0,44145,Management,17.0,5.0,1,2.305270362765229
117,0,Analyst,22.0,47998,Marketing,23.0,5.0,0,1.264887063655031
118,1,Analyst,25.0,49310,Marketing,16.0,2.0,2,1.9712525667351128
119,0,Analyst,24.0,49235,Management,17.0,4.0,1,1.7987679671457906
120,1,Senior Analyst,26.0,68245,Finance,26.0,3.0,0,2.6995208761122518
121,0,Analyst,23.0,47498,Finance,25.0,5.0,1,1.218343600273785
122,1,Analyst,25.0,40636,Finance,26.0,4.0,3,1.103353867214237
123,0,Analyst,25.0,45233,Operations,25.0,4.0,1,3.0088980150581794
124,0,Senior Analyst,27.0,53275,Finance,16.0,4.0,4,2.1765913757700206
125,0,Analyst,24.0,43540,Web,17.0,5.0,1,2.4722792607802875
126,1,Analyst,21.0,40275,Management,30.0,5.0,0,0.9637234770704997
127,1,Analyst,21.0,44361,Web,28.0,5.0,0,2.0725530458590007
128,1,Analyst,25.0,41936,Web,16.0,2.0,1,2.6338124572210813
129,0,Analyst,21.0,45830,Finance,25.0,5.0,0,2.735112936344969
130,0,Analyst,23.0,44521,Web,28.0,3.0,0,2.458590006844627
131,1,Analyst,22.0,45997,Management,18.0,3.0,0,1.4264202600958247
132,1,Analyst,25.0,44218,Finance,19.0,2.0,2,2.083504449007529
133,0,Manager,35.0,140926,Finance,28.0,2.0,12,2.2505133470225873
134,0,Analyst,21.0,48886,Operations,23.0,3.0,0,1.3442847364818618
135,1,Analyst,23.0,49081,Operations,26.0,3.0,1,1.322381930184805
136,0,Analyst,23.0,42195,Operations,28.0,2.0,0,1.8617385352498288
137,1,Senior Analyst,25.0,50130,Marketing,22.0,3.0,0,2.9295003422313486
138,1,Senior Analyst,25.0,55472,Finance,30.0,3.0,0,1.1006160164271048
139,1,Analyst,25.0,43269,Operations,17.0,5.0,1,2.631074606433949
140,0,Analyst,22.0,43712,Operations,17.0,2.0,0,2.2888432580424367
141,1,Analyst,25.0,42377,Marketing,24.0,5.0,3,1.0841889117043122
142,0,Senior Analyst,28.0,69316,Operations,24.0,3.0,0,3.2553045859000687
143,0,Analyst,23.0,46418,Marketing,29.0,2.0,0,2.3627652292950034
144,1,Senior Analyst,28.0,65566,Marketing,17.0,3.0,5,1.3990417522245038
145,0,Analyst,24.0,48976,Finance,25.0,2.0,1,2.217659137577002
146,1,Analyst,23.0,43760,Marketing,24.0,4.0,0,2.729637234770705
147,0,Analyst,22.0,41047,Operations,21.0,4.0,0,2.6338124572210813
148,0,Analyst,25.0,43225,Operations,30.0,2.0,2,2.080766598220397
149,1,Analyst,22.0,42361,Marketing,25.0,2.0,0,0.9609856262833676
150,0,Analyst,22.0,43835,Management,26.0,4.0,0,1.3114305270362765
151,0,Analyst,25.0,47326,Operations,24.0,5.0,2,1.9137577002053388
152,1,Senior Analyst,25.0,61221,Marketing,19.0,3.0,0,3.274469541409993
153,0,Analyst,21.0,42943,Finance,17.0,4.0,0,2.020533880903491
154,1,Analyst,23.0,48751,Operations,24.0,3.0,0,2.3408624229979464
155,1,Analyst,22.0,42136,Finance,23.0,4.0,0,2.543463381245722
156,0,Analyst,21.0,42472,Web,27.0,5.0,0,2.537987679671458
157,1,Analyst,22.0,46677,IT,26.0,4.0,0,2.7926078028747434
158,1,Analyst,25.0,45977,Web,28.0,5.0,3,1.0951403148528405
159,1,Analyst,25.0,41345,Web,18.0,5.0,3,1.1170431211498972
160,0,Director,41.0,323196,Marketing,23.0,3.0,10,5.530458590006845
161,0,Analyst,22.0,42727,Marketing,19.0,2.0,0,1.2265571526351813
162,1,Senior Analyst,25.0,53218,Marketing,18.0,5.0,0,3.6139630390143735
163,0,Analyst,21.0,48422,IT,21.0,3.0,0,2.48870636550308
164,1,Associate,32.0,83066,IT,23.0,4.0,6,2.2313483915126624
165,0,Analyst,21.0,41627,Operations,29.0,2.0,0,2.291581108829569
166,1,Director,42.0,388112,Marketing,27.0,2.0,18,2.8966461327857633
167,0,Analyst,23.0,44469,Web,25.0,3.0,0,2.1519507186858315
168,1,Analyst,24.0,41109,Marketing,23.0,3.0,2,1.1663244353182751
169,1,Analyst,23.0,43924,Operations,27.0,4.0,1,1.0951403148528405
170,1,Senior Analyst,25.0,64232,Operations,23.0,4.0,2,2.0314852840520192
171,1,Analyst,22.0,49644,Operations,19.0,2.0,0,2.7926078028747434
172,0,Director,43.0,284733,Web,15.0,2.0,11,6.954140999315538
173,0,Analyst,22.0,48802,Operations,20.0,4.0,0,1.809719370294319
174,0,Analyst,21.0,41748,IT,21.0,4.0,0,2.0670773442847366
175,1,Senior Analyst,27.0,61575,Finance,20.0,2.0,1,2.518822724161533
176,0,Analyst,24.0,46062,Marketing,25.0,3.0,1,2.0561259411362083
177,0,Analyst,25.0,40251,Finance,18.0,2.0,1,2.7652292950034223
178,1,Analyst,21.0,42416,Management,16.0,2.0,0,1.0787132101300478
179,0,Analyst,22.0,43951,Finance,18.0,5.0,0,1.6071184120465434
180,1,Analyst,25.0,47903,Finance,19.0,2.0,2,1.9904175222450375
181,0,Analyst,22.0,45275,Operations,27.0,3.0,0,2.6694045174537986
182,1,Senior Analyst,26.0,61046,Finance,28.0,5.0,1,1.3086926762491444
183,0,Analyst,25.0,48204,Web,15.0,4.0,2,2.00684462696783
184,0,Senior Analyst,27.0,51053,Operations,23.0,3.0,1,2.54072553045859
185,1,Analyst,22.0,42560,Operations,16.0,2.0,0,1.2758384668035592
186,0,Analyst,25.0,40947,Marketing,20.0,2.0,3,1.0978781656399725
187,0,Senior Analyst,28.0,68432,IT,30.0,2.0,0,3.592060232717317
188,0,Analyst,24.0,44561,Management,24.0,4.0,1,1.6125941136208077
189,0,Senior Analyst,26.0,63882,Operations,27.0,2.0,1,3.898699520876112
190,1,Analyst,23.0,45903,Finance,21.0,2.0,0,2.0725530458590007
191,1,Analyst,23.0,48470,Web,28.0,3.0,0,3.0143737166324436
192,0,Analyst,23.0,45704,Finance,24.0,4.0,0,1.9411362080766599
193,0,Senior Analyst,25.0,57064,Management,18.0,5.0,0,2.0451745379876796
194,1,Analyst,22.0,48546,IT,15.0,2.0,0,1.7357973990417521
195,0,Senior Analyst,28.0,50044,Operations,25.0,3.0,5,2.2751540041067764
196,0,Analyst,21.0,41604,Marketing,16.0,2.0,0,2.537987679671458
197,0,Analyst,23.0,45022,Finance,23.0,3.0,0,1.5742642026009583
198,1,Manager,33.0,107432,Web,24.0,4.0,8,4.323066392881588
199,0,Analyst,24.0,45499,IT,26.0,4.0,0,2.855578370978782
200,1,Analyst,22.0,47846,Marketing,26.0,2.0,0,2.737850787132101
201,0,Senior Analyst,28.0,67299,Operations,29.0,3.0,1,3.3319644079397674
202,0,Analyst,24.0,48047,Web,21.0,2.0,2,1.1143052703627652
203,1,Senior Manager,36.0,186356,Finance,20.0,3.0,8,5.086926762491444
204,0,Analyst,22.0,48539,Operations,26.0,5.0,0,2.1218343600273784
205,0,Analyst,22.0,45146,Marketing,18.0,2.0,0,1.0677618069815196
206,0,Senior Analyst,25.0,67321,IT,26.0,3.0,0,3.9315537303216974
207,0,Analyst,24.0,43137,IT,27.0,2.0,2,1.1909650924024642
208,0,Analyst,24.0,46974,Web,30.0,4.0,0,2.6803559206023273
209,0,Analyst,25.0,48602,Marketing,30.0,2.0,1,2.6803559206023273
210,0,Analyst,22.0,43036,Web,25.0,4.0,0,2.2888432580424367
211,1,Analyst,23.0,49318,Finance,17.0,3.0,0,1.5003422313483916
212,0,Analyst,23.0,48356,Web,19.0,2.0,0,2.5763175906913074
213,1,Analyst,25.0,49894,Operations,22.0,3.0,1,2.535249828884326
214,0,Analyst,24.0,42344,Marketing,17.0,4.0,2,1.051334702258727
215,1,Analyst,24.0,43343,Web,27.0,4.0,0,2.973305954825462
216,0,Analyst,22.0,47750,Operations,27.0,4.0,0,2.023271731690623
217,1,Analyst,22.0,42440,Marketing,19.0,3.0,0,1.5468856947296372
218,0,Analyst,25.0,45236,Web,16.0,2.0,3,1.45927446954141
219,1,Analyst,24.0,41514,Operations,27.0,4.0,0,2.707734428473648
220,1,Analyst,23.0,45084,IT,24.0,4.0,1,1.0130047912388775
221,0,Analyst,24.0,41676,Marketing,29.0,3.0,1,2.0451745379876796
222,0,Analyst,23.0,46127,Marketing,28.0,5.0,0,2.329911019849418
223,1,Associate,29.0,99416,Management,20.0,5.0,4,3.808350444900753
224,0,Analyst,25.0,47899,Operations,15.0,3.0,1,2.614647501711157
225,0,Analyst,23.0,45927,Finance,15.0,3.0,0,2.080766598220397
226,1,Analyst,23.0,48891,Management,22.0,2.0,1,1.1553730321697468
227,1,Analyst,22.0,41284,Finance,19.0,5.0,0,2.6885694729637235
228,1,Director,43.0,313649,IT,21.0,2.0,17,4.717316906228611
229,1,Analyst,22.0,49111,Marketing,22.0,2.0,0,3.0006844626967832
230,1,Senior Analyst,25.0,51509,Marketing,23.0,3.0,0,3.8795345653661877
231,1,Analyst,21.0,49393,IT,16.0,3.0,0,1.0403832991101984
232,1,Analyst,21.0,46580,Web,27.0,4.0,0,2.4832306639288158
233,0,Analyst,25.0,44538,Finance,16.0,4.0,2,1.8699520876112252
234,0,Analyst,21.0,46507,Finance,22.0,2.0,0,2.028747433264887
235,0,Analyst,24.0,47308,Web,26.0,5.0,1,2.078028747433265
236,1,Analyst,22.0,45952,Management,25.0,5.0,0,1.136208076659822
237,1,Senior Analyst,25.0,68505,Operations,15.0,3.0,1,2.524298425735797
238,0,Senior Analyst,26.0,65316,Marketing,21.0,5.0,0,2.861054072553046
239,1,Analyst,23.0,47401,Marketing,17.0,5.0,1,1.0704996577686516
240,0,Manager,35.0,129017,Operations,25.0,3.0,11,2.1765913757700206
241,0,Analyst,23.0,46347,Finance,28.0,4.0,1,1.0294318959616702
242,1,Analyst,25.0,47573,Web,25.0,4.0,2,1.787816563997262
243,1,Associate,32.0,97708,IT,29.0,2.0,5,4.210814510609172
244,1,Analyst,21.0,46002,Finance,21.0,5.0,0,1.5468856947296372
245,0,Analyst,25.0,47201,IT,27.0,5.0,1,2.9130732375085557
246,1,Analyst,21.0,46733,Web,15.0,2.0,0,1.9767282683093772
247,0,Senior Manager,39.0,191793,IT,20.0,3.0,17,1.3388090349075976
248,1,Senior Analyst,25.0,68505,Operations,15.0,3.0,1,2.524298425735797
249,1,Analyst,22.0,41035,Management,19.0,4.0,0,1.3086926762491444
250,0,Manager,34.0,126871,Management,16.0,4.0,7,2.3134839151266258
251,0,Senior Analyst,27.0,51532,Marketing,25.0,5.0,0,2.6885694729637235
252,0,Analyst,24.0,43339,Finance,28.0,5.0,1,1.9164955509924708
253,1,Analyst,22.0,44506,IT,30.0,4.0,0,1.6290212183436004
254,1,Analyst,23.0,40045,Management,25.0,2.0,0,2.21492128678987
255,1,Analyst,24.0,48938,Finance,19.0,2.0,0,2.8774811772758384
256,1,Analyst,23.0,48185,IT,19.0,4.0,0,2.2559890485968515
257,0,Analyst,25.0,47579,Marketing,25.0,3.0,2,1.7111567419575633
258,0,Director,41.0,375647,Finance,20.0,5.0,14,6.38466803559206
259,0,Analyst,24.0,47386,Management,23.0,2.0,0,2.7624914442162902
260,1,Analyst,24.0,43952,Finance,23.0,4.0,1,1.8535249828884326
261,0,Analyst,24.0,48981,Finance,26.0,4.0,0,2.839151266255989
262,0,Analyst,25.0,40702,Marketing,30.0,4.0,1,2.809034907597536
263,0,Director,43.0,235565,Web,20.0,4.0,17,1.4099931553730323
264,0,Analyst,22.0,41641,Web,28.0,4.0,0,1.7056810403832992
265,1,Analyst,21.0,44350,Finance,25.0,4.0,0,2.6995208761122518
266,0,Analyst,23.0,48887,Operations,26.0,4.0,0,2.135523613963039
267,1,Analyst,24.0,47499,Web,24.0,2.0,0,2.617385352498289
268,0,Analyst,25.0,42128,Finance,18.0,5.0,1,2.5598904859685145
269,1,Analyst,24.0,48271,Finance,29.0,3.0,0,2.8747433264887063
270,0,Analyst,23.0,41029,Management,19.0,4.0,0,2.2532511978097194
271,0,Analyst,25.0,43659,Web,15.0,5.0,3,1.0075290896646132
272,1,Manager,33.0,140867,IT,27.0,4.0,7,1.78507871321013
273,0,Analyst,24.0,49806,IT,22.0,5.0,1,1.6290212183436004
274,0,Analyst,24.0,49110,IT,25.0,2.0,1,2.401095140314853
275,1,Analyst,23.0,42081,Management,23.0,4.0,0,1.678302532511978
276,0,Analyst,21.0,41017,IT,27.0,5.0,0,2.7624914442162902
277,0,Analyst,24.0,48869,IT,26.0,5.0,0,2.847364818617385
278,1,Senior Analyst,28.0,66965,Web,16.0,3.0,5,2.3572895277207393
279,1,Analyst,24.0,42338,Management,22.0,4.0,0,2.6557152635181382
280,1,Analyst,22.0,49380,Management,25.0,4.0,0,2.4202600958247777
281,0,Manager,33.0,117354,Management,26.0,3.0,6,1.949349760438056
282,0,Analyst,25.0,41679,Web,20.0,2.0,2,2.48870636550308
283,1,Analyst,22.0,44207,Finance,28.0,4.0,0,1.3032169746748803
284,0,Analyst,22.0,45059,Management,29.0,2.0,0,1.2019164955509924
285,0,Associate,29.0,95056,Operations,15.0,3.0,0,4.6652977412731005
286,1,Analyst,22.0,48777,Management,29.0,3.0,0,2.841889117043121
287,0,Senior Analyst,28.0,56728,IT,16.0,4.0,4,1.4455852156057496
288,0,Senior Analyst,28.0,53113,Finance,20.0,3.0,1,3.07460643394935
289,0,Analyst,21.0,45039,Management,19.0,4.0,0,1.5989048596851472
290,0,Analyst,21.0,41619,Management,21.0,2.0,0,1.6153319644079398
291,0,Senior Analyst,26.0,62672,Management,28.0,3.0,1,2.0561259411362083
292,1,Analyst,23.0,42925,Management,26.0,3.0,0,2.7214236824093088
293,0,Analyst,25.0,44343,Marketing,28.0,5.0,1,2.568104038329911
294,0,Analyst,22.0,47967,Finance,23.0,4.0,0,1.6427104722792607
295,1,Associate,30.0,92323,Marketing,30.0,5.0,4,1.8726899383983573
296,1,Analyst,25.0,42002,Marketing,25.0,5.0,2,2.458590006844627
297,0,Senior Manager,38.0,199577,Marketing,15.0,5.0,11,1.9603011635865846
298,0,Associate,30.0,96478,Marketing,29.0,4.0,0,4.5804243668720055
299,1,Senior Analyst,25.0,51817,IT,21.0,3.0,3,1.3415468856947297
300,0,Analyst,24.0,45604,Web,20.0,4.0,2,1.1498973305954825
301,1,Analyst,25.0,46844,Operations,19.0,5.0,2,1.730321697467488
302,0,Analyst,23.0,46425,Operations,21.0,2.0,0,2.088980150581793
303,0,Analyst,21.0,41908,Operations,18.0,5.0,0,1.8672142368240932
304,0,Analyst,22.0,42848,Web,29.0,3.0,0,2.5900068446269677
305,1,Analyst,21.0,45895,Marketing,17.0,2.0,0,2.0095824777549622
306,0,Analyst,22.0,41580,Finance,20.0,5.0,0,2.598220396988364
307,1,Senior Analyst,27.0,55417,IT,18.0,2.0,0,3.863107460643395
308,1,Analyst,21.0,41803,Web,30.0,2.0,0,2.130047912388775
309,0,Manager,35.0,113837,Marketing,20.0,4.0,8,4.120465434633813
310,0,Senior Analyst,28.0,69851,Finance,28.0,4.0,3,1.4674880219028064
311,1,Analyst,23.0,42429,Operations,24.0,2.0,1,1.1772758384668036
312,1,Associate,30.0,90346,Marketing,21.0,3.0,2,3.3073237508555784
313,1,Analyst,22.0,44980,Web,19.0,4.0,0,1.08145106091718
314,1,Manager,32.0,124711,Finance,17.0,3.0,6,3.972621492128679
315,1,Analyst,21.0,42803,Management,24.0,2.0,0,2.212183436002738
316,1,Analyst,22.0,44015,IT,20.0,5.0,0,1.6125941136208077
317,0,Senior Analyst,28.0,55693,Management,15.0,2.0,2,3.578370978781656
318,0,Senior Analyst,26.0,52083,Operations,19.0,4.0,1,2.537987679671458
319,1,Analyst,24.0,46907,IT,16.0,2.0,0,2.5516769336071183
320,0,Senior Analyst,26.0,63008,Marketing,28.0,2.0,0,3.488021902806297
321,1,Senior Analyst,25.0,64112,Management,19.0,3.0,0,1.1416837782340863
322,1,Analyst,24.0,44888,Operations,29.0,2.0,2,0.9883641341546886
323,0,Analyst,25.0,41921,Operations,29.0,5.0,2,2.1546885694729636
324,0,Analyst,22.0,41926,IT,18.0,3.0,0,1.9931553730321698
325,0,Director,45.0,324783,Finance,24.0,5.0,19,3.345653661875428
326,0,Analyst,24.0,46499,Operations,22.0,3.0,1,2.078028747433265
327,0,Analyst,21.0,42754,Marketing,16.0,3.0,0,2.836413415468857
328,1,Analyst,22.0,46812,Operations,28.0,4.0,0,1.0485968514715949
329,1,Analyst,22.0,47001,IT,16.0,4.0,0,1.1389459274469542
330,0,Analyst,24.0,40646,Operations,24.0,5.0,1,1.6947296372347707
331,0,Associate,30.0,97879,Marketing,30.0,2.0,3,3.490759753593429
332,0,Analyst,21.0,49013,Marketing,16.0,5.0,0,1.7193702943189597
333,0,Analyst,23.0,41120,Finance,21.0,3.0,0,2.924024640657084
334,0,Manager,32.0,126181,IT,22.0,5.0,5,1.6563997262149213
335,0,Associate,31.0,76143,Operations,24.0,3.0,6,1.054072553045859
336,1,Analyst,23.0,40998,Management,27.0,5.0,0,2.628336755646817
337,1,Senior Manager,36.0,198814,Operations,22.0,5.0,6,5.642710472279261
338,1,Analyst,24.0,43417,Finance,27.0,2.0,0,2.830937713894593
339,0,Senior Analyst,27.0,59111,IT,19.0,3.0,4,2.43668720054757
340,1,Associate,28.0,72328,Finance,27.0,3.0,0,3.6906228610540723
341,1,Analyst,23.0,44225,Operations,17.0,3.0,1,1.1389459274469542
342,1,Analyst,25.0,47561,Marketing,30.0,2.0,1,2.507871321013005
343,0,Analyst,25.0,44512,Marketing,25.0,2.0,2,1.9164955509924708
344,1,Analyst,25.0,43352,Finance,27.0,4.0,2,2.1574264202600957
345,1,Analyst,25.0,49619,Marketing,30.0,2.0,3,0.9801505817932923
346,0,Analyst,25.0,43991,Management,25.0,4.0,2,1.68104038329911
347,0,Analyst,23.0,44712,Marketing,18.0,5.0,0,1.7686516084873374
348,0,Analyst,21.0,47401,Finance,27.0,2.0,0,1.0349075975359343
349,1,Associate,29.0,85391,Web,19.0,2.0,1,3.8548939082819986
350,0,Analyst,24.0,47638,Web,21.0,2.0,2,0.9965776865160849
351,0,Analyst,22.0,41284,Operations,23.0,4.0,0,2.433949349760438
352,1,Analyst,24.0,46251,Finance,28.0,5.0,2,1.215605749486653
353,1,Analyst,25.0,47183,IT,23.0,2.0,3,1.0650239561943875
354,0,Analyst,23.0,44214,Web,23.0,4.0,0,1.700205338809035
355,1,Analyst,22.0,41227,IT,24.0,2.0,0,2.2642026009582477
356,1,Analyst,25.0,43474,Management,27.0,5.0,2,2.0451745379876796
357,0,Analyst,22.0,42178,Web,28.0,3.0,0,1.787816563997262
358,0,Analyst,23.0,40436,Operations,19.0,4.0,0,2.674880219028063
